acc,disprot_id,organism,ncbi_taxon_id,group,protein_name,gene,length,seq_len_check,n_regions,n_disorder_res_D,n_disorder_res_D_or_S,D_exp,D_exp_ambiguous,disorder_content_source,af_very_low_content,af_available,has_ambiguous_S,uniparc,uniref50,released,source_file
P11387,DP00075,Homo sapiens,9606,Human,DNA topoisomerase 1,TOP1,765,765,22,306,306,0.4,0.4,0.4,0.2601307189542484,True,False,UPI00001421A9,UniRef50_P11387,2016_10,disprot_taxon_9606_homo_sapiens.json
P01100,DP00078,Homo sapiens,9606,Human,Proto-oncogene c-Fos,FOS,380,380,3,165,165,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.5394736842105263,True,False,UPI000000D8F5,UniRef50_P01100,2016_10,disprot_taxon_9606_homo_sapiens.json
Q92731,DP00079,Homo sapiens,9606,Human,Estrogen receptor beta,ESR2,530,530,6,103,103,0.19433962264150945,0.19433962264150945,0.19433962264150945,0.4037735849056604,True,False,UPI000002EA37,UniRef50_Q62986-5,2016_10,disprot_taxon_9606_homo_sapiens.json
P61244,DP00084,Homo sapiens,9606,Human,Protein max,MAX,160,160,20,79,79,0.49375,0.49375,0.49375,0.0125,True,False,UPI0000000C63,UniRef50_P61244,2016_10,disprot_taxon_9606_homo_sapiens.json
Q04206,DP00085,Homo sapiens,9606,Human,Transcription factor p65,RELA,551,551,4,124,124,0.2250453720508167,0.2250453720508167,0.2250453720508167,0.33575317604355714,True,False,UPI0000136C5A,UniRef50_Q04206,2016_10,disprot_taxon_9606_homo_sapiens.json
P04637,DP00086,Homo sapiens,9606,Human,Cellular tumor antigen p53,TP53,393,393,93,148,148,0.37659033078880405,0.37659033078880405,0.37659033078880405,0.3104325699745547,True,False,UPI000014AEB2,UniRef50_P04637,2016_10,disprot_taxon_9606_homo_sapiens.json
Q14722,DP00090,Homo sapiens,9606,Human,Voltage-gated potassium channel subunit beta-1,KCNAB1,419,419,4,62,62,0.14797136038186157,0.14797136038186157,0.14797136038186157,0.12171837708830549,True,False,UPI000012E169,UniRef50_Q14722,2016_10,disprot_taxon_9606_homo_sapiens.json
Q08209,DP00092,Homo sapiens,9606,Human,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,PPP3CA,521,521,47,144,144,0.2763915547024952,0.2763915547024952,0.2763915547024952,0.0767754318618042,True,False,UPI0000110660,UniRef50_Q08209,2016_10,disprot_taxon_9606_homo_sapiens.json
P50440,DP00099,Homo sapiens,9606,Human,"Glycine amidinotransferase, mitochondrial",GATM,423,423,1,26,26,0.061465721040189124,0.061465721040189124,0.061465721040189124,0.13238770685579196,True,False,UPI0000111EFD,UniRef50_P50440,2016_10,disprot_taxon_9606_homo_sapiens.json
P10163,DP00119,Homo sapiens,9606,Human,Basic salivary proline-rich protein 4,PRB4,310,310,3,294,294,0.9483870967741935,0.9483870967741935,0.9483870967741935,0.4,True,False,UPI00015B3CEA,UniRef50_Q04118,2016_10,disprot_taxon_9606_homo_sapiens.json
P01730,DP00123,Homo sapiens,9606,Human,T-cell surface glycoprotein CD4,CD4,458,458,16,38,62,0.08296943231441048,0.13537117903930132,0.13537117903930132,0.0851528384279476,True,True,UPI0000001294,UniRef50_P01730,2016_10,disprot_taxon_9606_homo_sapiens.json
P22531,DP00130,Homo sapiens,9606,Human,Small proline-rich protein 2E,SPRR2E,72,72,13,44,44,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.0,True,False,UPI0000135D76,UniRef50_P22531,2016_10,disprot_taxon_9606_homo_sapiens.json
Q06787,DP00134,Homo sapiens,9606,Human,Synaptic functional regulator FMR1,FMR1,632,632,22,331,331,0.5237341772151899,0.5237341772151899,0.5237341772151899,0.3987341772151899,True,False,UPI000012AACA,UniRef50_Q06787,2016_10,disprot_taxon_9606_homo_sapiens.json
P12272,DP00138,Homo sapiens,9606,Human,Parathyroid hormone-related protein,PTHLH,177,177,10,91,91,0.5141242937853108,0.5141242937853108,0.5141242937853108,0.1977401129943503,True,False,UPI0000047E25,UniRef50_P12272,2016_10,disprot_taxon_9606_homo_sapiens.json
O95405,DP00141,Homo sapiens,9606,Human,Zinc finger FYVE domain-containing protein 9,ZFYVE9,1425,1425,6,58,58,0.04070175438596491,0.04070175438596491,0.04070175438596491,0.5368421052631579,True,False,UPI0000167B33,UniRef50_O95405,2016_10,disprot_taxon_9606_homo_sapiens.json
Q13426,DP00152,Homo sapiens,9606,Human,DNA repair protein XRCC4,XRCC4,336,336,11,135,135,0.4017857142857143,0.4017857142857143,0.4017857142857143,0.31845238095238093,True,False,UPI0000072B0A,UniRef50_Q13426,2016_10,disprot_taxon_9606_homo_sapiens.json
P01112,DP00153,Homo sapiens,9606,Human,GTPase HRas,HRAS,189,189,21,20,20,0.10582010582010581,0.10582010582010581,0.10582010582010581,0.06349206349206349,True,False,UPI0000001251,UniRef50_P01112,2016_10,disprot_taxon_9606_homo_sapiens.json
P54725,DP00156,Homo sapiens,9606,Human,UV excision repair protein RAD23 homolog A,RAD23A,363,363,6,147,147,0.4049586776859504,0.4049586776859504,0.4049586776859504,0.3140495867768595,True,False,UPI000000D7F7,UniRef50_P54725,2016_10,disprot_taxon_9606_homo_sapiens.json
O75324,DP00162,Homo sapiens,9606,Human,Stannin,SNN,88,88,5,27,27,0.3068181818181818,0.3068181818181818,0.3068181818181818,0.2159090909090909,True,False,UPI0000001656,UniRef50_O75324,2016_10,disprot_taxon_9606_homo_sapiens.json
P19429,DP00166,Homo sapiens,9606,Human,"Troponin I, cardiac muscle",TNNI3,210,210,11,96,96,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.02857142857142857,True,False,UPI00001373A1,UniRef50_P19429,2016_10,disprot_taxon_9606_homo_sapiens.json
Q9NVS9,DP00168,Homo sapiens,9606,Human,Pyridoxine-5'-phosphate oxidase,PNPO,261,261,3,48,48,0.1839080459770115,0.1839080459770115,0.1839080459770115,0.09961685823754789,True,False,UPI000004A13F,UniRef50_Q9NVS9,2016_10,disprot_taxon_9606_homo_sapiens.json
P04049,DP00171,Homo sapiens,9606,Human,RAF proto-oncogene serine/threonine-protein kinase,RAF1,648,648,10,20,20,0.030864197530864196,0.030864197530864196,0.030864197530864196,0.3503086419753086,True,False,UPI0000049CFC,UniRef50_P04049,2016_10,disprot_taxon_9606_homo_sapiens.json
O00273,DP00173,Homo sapiens,9606,Human,DNA fragmentation factor subunit alpha,DFFA,331,331,8,100,100,0.3021148036253776,0.3021148036253776,0.3021148036253776,0.1782477341389728,True,False,UPI00001291FA,UniRef50_O00273,2016_10,disprot_taxon_9606_homo_sapiens.json
Q9NQB0,DP00175,Homo sapiens,9606,Human,Transcription factor 7-like 2,TCF7L2,619,619,29,130,130,0.210016155088853,0.210016155088853,0.210016155088853,0.6203554119547657,True,False,UPI0000161083,UniRef50_Q9NQB0,2016_10,disprot_taxon_9606_homo_sapiens.json
Q9Y5B0,DP00177,Homo sapiens,9606,Human,RNA polymerase II subunit A C-terminal domain phosphatase,CTDP1,961,961,10,83,83,0.08636836628511967,0.08636836628511967,0.08636836628511967,0.4599375650364204,True,False,UPI0000071F1B,UniRef50_Q9Y5B0,2016_10,disprot_taxon_9606_homo_sapiens.json
P11473,DP00184,Homo sapiens,9606,Human,Vitamin D3 receptor,VDR,427,427,7,51,51,0.11943793911007025,0.11943793911007025,0.11943793911007025,0.1686182669789227,True,False,UPI000003C12F,UniRef50_P11473,2016_10,disprot_taxon_9606_homo_sapiens.json
P20810,DP00196,Homo sapiens,9606,Human,Calpastatin,CAST,708,708,11,141,141,0.19915254237288135,0.19915254237288135,0.19915254237288135,0.4435028248587571,True,False,UPI000016A731,UniRef50_P20810,2016_10,disprot_taxon_9606_homo_sapiens.json
P20963,DP00200,Homo sapiens,9606,Human,T-cell surface glycoprotein CD3 zeta chain,CD247,164,164,9,116,116,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.21341463414634146,True,False,UPI0000158590,UniRef50_P20963,2016_10,disprot_taxon_9606_homo_sapiens.json
P10451,DP00214,Homo sapiens,9606,Human,Osteopontin,SPP1,314,314,20,314,314,1.0,1.0,1.0,0.3821656050955414,True,False,UPI0000000E0B,UniRef50_P10451,2016_10,disprot_taxon_9606_homo_sapiens.json
O60927,DP00219,Homo sapiens,9606,Human,E3 ubiquitin-protein ligase PPP1R11,PPP1R11,126,126,6,126,126,1.0,1.0,1.0,0.10317460317460317,True,False,UPI000000D734,UniRef50_O60927,2016_10,disprot_taxon_9606_homo_sapiens.json
P14635,DP00223,Homo sapiens,9606,Human,G2/mitotic-specific cyclin-B1,CCNB1,433,433,6,78,78,0.18013856812933027,0.18013856812933027,0.18013856812933027,0.302540415704388,True,False,UPI00001275A9,UniRef50_P14635,2016_10,disprot_taxon_9606_homo_sapiens.json
P05455,DP00229,Homo sapiens,9606,Human,Lupus La protein,SSB,408,408,7,83,83,0.2034313725490196,0.2034313725490196,0.2034313725490196,0.18382352941176472,True,False,UPI0000072D81,UniRef50_P05455,2016_10,disprot_taxon_9606_homo_sapiens.json
Q14449,DP00230,Homo sapiens,9606,Human,Growth factor receptor-bound protein 14,GRB14,540,540,4,75,75,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.26296296296296295,True,False,UPI000012BA85,UniRef50_Q14449,2016_10,disprot_taxon_9606_homo_sapiens.json
P14859,DP00231,Homo sapiens,9606,Human,"POU domain, class 2, transcription factor 1",POU2F1,743,743,8,225,225,0.3028263795423957,0.3028263795423957,0.3028263795423957,0.7375504710632571,True,False,UPI0000163B4E,UniRef50_P14859,2016_10,disprot_taxon_9606_homo_sapiens.json
P02686,DP00236,Homo sapiens,9606,Human,Myelin basic protein,MBP,304,304,10,171,171,0.5625,0.5625,0.5625,0.3815789473684211,True,False,UPI0000113626,UniRef50_P02686,2016_10,disprot_taxon_9606_homo_sapiens.json
P38398,DP00238,Homo sapiens,9606,Human,Breast cancer type 1 susceptibility protein,BRCA1,1863,1863,29,1550,1550,0.8319914117015567,0.8319914117015567,0.8319914117015567,0.8030059044551798,True,False,UPI0000126AC8,UniRef50_P38398,2016_10,disprot_taxon_9606_homo_sapiens.json
P35611,DP00240,Homo sapiens,9606,Human,Alpha-adducin,ADD1,737,737,5,308,308,0.417910447761194,0.417910447761194,0.417910447761194,0.4287652645861601,True,False,UPI0000161BC8,UniRef50_P35611,2016_10,disprot_taxon_9606_homo_sapiens.json
P35612,DP00241,Homo sapiens,9606,Human,Beta-adducin,ADD2,726,726,13,318,318,0.4380165289256198,0.4380165289256198,0.4380165289256198,0.3856749311294766,True,False,UPI0000125503,UniRef50_P35612,2016_10,disprot_taxon_9606_homo_sapiens.json
P23025,DP00243,Homo sapiens,9606,Human,DNA repair protein complementing XP-A cells,XPA,273,273,8,125,125,0.45787545787545786,0.45787545787545786,0.45787545787545786,0.10622710622710622,True,False,UPI0000043B7A,UniRef50_P23025,2016_10,disprot_taxon_9606_homo_sapiens.json
P01106-1,DP00260,Homo sapiens,9606,Human,Myc proto-oncogene protein,MYC,439,439,41,254,254,0.5785876993166287,0.5785876993166287,0.5785876993166287,0.3690205011389522,True,False,UPI0000000C1A,UniRef50_P01106,2016_10,disprot_taxon_9606_homo_sapiens.json
Q16665,DP00262,Homo sapiens,9606,Human,Hypoxia-inducible factor 1-alpha,HIF1A,826,826,26,347,347,0.42009685230024213,0.42009685230024213,0.42009685230024213,0.5096852300242131,True,False,UPI0000000A06,UniRef50_Q16665,2016_10,disprot_taxon_9606_homo_sapiens.json
Q04656,DP00282,Homo sapiens,9606,Human,Copper-transporting ATPase 1,ATP7A,1500,1500,1,52,52,0.034666666666666665,0.034666666666666665,0.034666666666666665,0.15933333333333333,True,False,UPI0000161BB8,UniRef50_Q04656,2016_10,disprot_taxon_9606_homo_sapiens.json
P40337,DP00287,Homo sapiens,9606,Human,von Hippel-Lindau disease tumor suppressor,VHL,213,213,69,213,213,1.0,1.0,1.0,0.1267605633802817,True,False,UPI0000146537,UniRef50_P40337,2016_10,disprot_taxon_9606_homo_sapiens.json
P10415,DP00297,Homo sapiens,9606,Human,Apoptosis regulator Bcl-2,BCL2,239,239,4,23,23,0.09623430962343096,0.09623430962343096,0.09623430962343096,0.2384937238493724,True,False,UPI000002F8D7,UniRef50_P10415,2016_10,disprot_taxon_9606_homo_sapiens.json
Q07817,DP00298,Homo sapiens,9606,Human,Bcl-2-like protein 1,BCL2L1,233,233,10,56,56,0.24034334763948498,0.24034334763948498,0.24034334763948498,0.296137339055794,True,False,UPI0000000CEC,UniRef50_Q07817,2016_10,disprot_taxon_9606_homo_sapiens.json
P31751,DP00304,Homo sapiens,9606,Human,RAC-beta serine/threonine-protein kinase,AKT2,481,481,8,69,69,0.14345114345114346,0.14345114345114346,0.14345114345114346,0.11226611226611227,True,False,UPI000016AFC1,UniRef50_P31751,2016_10,disprot_taxon_9606_homo_sapiens.json
Q07108,DP00306,Homo sapiens,9606,Human,Early activation antigen CD69,CD69,199,199,3,21,21,0.10552763819095477,0.10552763819095477,0.10552763819095477,0.1708542713567839,True,False,UPI00000622D7,UniRef50_Q07108,2016_10,disprot_taxon_9606_homo_sapiens.json
P51946,DP00307,Homo sapiens,9606,Human,Cyclin-H,CCNH,323,323,4,46,46,0.14241486068111456,0.14241486068111456,0.14241486068111456,0.1021671826625387,True,False,UPI0000048D5B,UniRef50_P51946,2016_10,disprot_taxon_9606_homo_sapiens.json
P06132,DP00308,Homo sapiens,9606,Human,Uroporphyrinogen decarboxylase,UROD,367,367,2,10,10,0.027247956403269755,0.027247956403269755,0.027247956403269755,0.010899182561307902,True,False,UPI000016B2D1,UniRef50_P06132,2016_10,disprot_taxon_9606_homo_sapiens.json
P00533,DP00309,Homo sapiens,9606,Human,Epidermal growth factor receptor,EGFR,1210,1210,12,543,543,0.4487603305785124,0.4487603305785124,0.4487603305785124,0.21735537190082643,True,False,UPI0000050F30,UniRef50_P00533,2016_10,disprot_taxon_9606_homo_sapiens.json
P62495,DP00310,Homo sapiens,9606,Human,Eukaryotic peptide chain release factor subunit 1,ETF1,437,437,5,68,68,0.15560640732265446,0.15560640732265446,0.15560640732265446,0.041189931350114416,True,False,UPI00001110CB,UniRef50_P62495,2016_10,disprot_taxon_9606_homo_sapiens.json
P24071,DP00311,Homo sapiens,9606,Human,Immunoglobulin alpha Fc receptor,FCAR,287,287,1,13,13,0.04529616724738676,0.04529616724738676,0.04529616724738676,0.08362369337979095,True,False,UPI000011B429,UniRef50_P24071,2016_10,disprot_taxon_9606_homo_sapiens.json
Q9UJY5,DP00314,Homo sapiens,9606,Human,ADP-ribosylation factor-binding protein GGA1,GGA1,639,639,4,70,70,0.10954616588419405,0.10954616588419405,0.10954616588419405,0.29264475743348983,True,False,UPI0000001BEE,UniRef50_Q9UJY5,2016_10,disprot_taxon_9606_homo_sapiens.json
O43464,DP00315,Homo sapiens,9606,Human,"Serine protease HTRA2, mitochondrial",HTRA2,458,458,10,28,28,0.0611353711790393,0.0611353711790393,0.0611353711790393,0.32096069868995636,True,False,UPI0000155ED6,UniRef50_O43464,2016_10,disprot_taxon_9606_homo_sapiens.json
O15350,DP00319,Homo sapiens,9606,Human,Tumor protein p73,TP73,636,636,2,16,16,0.025157232704402517,0.025157232704402517,0.025157232704402517,0.4716981132075472,True,False,UPI000002E988,UniRef50_O15350,2016_10,disprot_taxon_9606_homo_sapiens.json
P05121,DP00320,Homo sapiens,9606,Human,Plasminogen activator inhibitor 1,SERPINE1,402,402,4,16,16,0.03980099502487562,0.03980099502487562,0.03980099502487562,0.08208955223880597,True,False,UPI0000000CAB,UniRef50_P20961,2016_10,disprot_taxon_9606_homo_sapiens.json
Q9UM07,DP00321,Homo sapiens,9606,Human,Protein-arginine deiminase type-4,PADI4,663,663,11,65,65,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.012066365007541479,True,False,UPI00001314B5,UniRef50_Q9UM07,2016_10,disprot_taxon_9606_homo_sapiens.json
P11309,DP00322,Homo sapiens,9606,Human,Serine/threonine-protein kinase pim-1,PIM1,313,313,1,18,18,0.05750798722044728,0.05750798722044728,0.05750798722044728,0.11182108626198083,True,False,,UniRef50_P11309,2016_10,disprot_taxon_9606_homo_sapiens.json
O75469,DP00323,Homo sapiens,9606,Human,Nuclear receptor subfamily 1 group I member 2,NR1I2,434,434,2,32,32,0.07373271889400922,0.07373271889400922,0.07373271889400922,0.12442396313364056,True,False,UPI0000001272,UniRef50_O75469,2016_10,disprot_taxon_9606_homo_sapiens.json
P09651,DP00324,Homo sapiens,9606,Human,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,372,372,26,42,42,0.11290322580645161,0.11290322580645161,0.11290322580645161,0.4650537634408602,True,False,UPI000016B2CF,UniRef50_P09651,2016_10,disprot_taxon_9606_homo_sapiens.json
O14832,DP00327,Homo sapiens,9606,Human,"Phytanoyl-CoA dioxygenase, peroxisomal",PHYH,338,338,4,39,39,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.026627218934911243,True,False,UPI0000131215,UniRef50_O14832,2016_10,disprot_taxon_9606_homo_sapiens.json
P21815,DP00332,Homo sapiens,9606,Human,Bone sialoprotein 2,IBSP,317,317,13,317,317,1.0,1.0,1.0,0.5583596214511041,True,False,UPI0000167BD4,UniRef50_P21815,2016_10,disprot_taxon_9606_homo_sapiens.json
P27797,DP00333,Homo sapiens,9606,Human,Calreticulin,CALR,417,417,24,400,400,0.9592326139088729,0.9592326139088729,0.9592326139088729,0.02877697841726619,True,False,UPI000004CEC9,UniRef50_P27797,2016_10,disprot_taxon_9606_homo_sapiens.json
Q00987,DP00334,Homo sapiens,9606,Human,E3 ubiquitin-protein ligase Mdm2,MDM2,491,491,9,222,222,0.45213849287169044,0.45213849287169044,0.45213849287169044,0.47657841140529533,True,False,UPI000002E23E,UniRef50_Q00987,2016_10,disprot_taxon_9606_homo_sapiens.json
P16442,DP00339,Homo sapiens,9606,Human,Histo-blood group ABO system transferase,ABO,354,354,2,16,16,0.04519774011299435,0.04519774011299435,0.04519774011299435,0.11581920903954802,True,False,UPI000004EBC0,UniRef50_P16442,2016_10,disprot_taxon_9606_homo_sapiens.json
Q9Y6Q9,DP00343,Homo sapiens,9606,Human,Nuclear receptor coactivator 3,NCOA3,1424,1424,15,71,71,0.04985955056179775,0.04985955056179775,0.04985955056179775,0.7071629213483146,True,False,UPI000012FE45,UniRef50_Q9Y6Q9,2016_10,disprot_taxon_9606_homo_sapiens.json
Q99967,DP00356,Homo sapiens,9606,Human,Cbp/p300-interacting transactivator 2,CITED2,270,270,18,51,51,0.18888888888888888,0.18888888888888888,0.18888888888888888,0.5333333333333333,True,False,UPI000002A68D,UniRef50_O35740,2016_10,disprot_taxon_9606_homo_sapiens.json
P62328,DP00357,Homo sapiens,9606,Human,Thymosin beta-4,TMSB4X,44,44,13,44,44,1.0,1.0,1.0,0.0,True,False,UPI000004613E,UniRef50_P62328,2016_10,disprot_taxon_9606_homo_sapiens.json
Q15185,DP00358,Homo sapiens,9606,Human,Prostaglandin E synthase 3,PTGES3,160,160,3,38,38,0.2375,0.2375,0.2375,0.05,True,False,UPI0000052BAE,UniRef50_Q15185,2016_10,disprot_taxon_9606_homo_sapiens.json
Q16222,DP00363,Homo sapiens,9606,Human,UDP-N-acetylhexosamine pyrophosphorylase,UAP1,522,522,3,17,17,0.032567049808429116,0.032567049808429116,0.032567049808429116,0.040229885057471264,True,False,UPI000002B673,UniRef50_Q16222,2016_10,disprot_taxon_9606_homo_sapiens.json
Q15382,DP00364,Homo sapiens,9606,Human,GTP-binding protein Rheb,RHEB,184,184,7,11,11,0.059782608695652176,0.059782608695652176,0.059782608695652176,0.02717391304347826,True,False,UPI0000133863,UniRef50_Q15382,2016_10,disprot_taxon_9606_homo_sapiens.json
Q9NR00,DP00372,Homo sapiens,9606,Human,Transcriptional and immune response regulator,TCIM,106,106,2,106,106,1.0,1.0,1.0,0.018867924528301886,True,False,UPI000013FBD4,UniRef50_Q9NR00,2016_10,disprot_taxon_9606_homo_sapiens.json
P08047,DP00378,Homo sapiens,9606,Human,Transcription factor Sp1,SP1,785,785,20,217,217,0.2764331210191083,0.2764331210191083,0.2764331210191083,0.8726114649681529,True,False,UPI000016B0B8,UniRef50_P08047,2016_10,disprot_taxon_9606_homo_sapiens.json
P35869,DP00381,Homo sapiens,9606,Human,Aryl hydrocarbon receptor,AHR,848,848,13,169,169,0.19929245283018868,0.19929245283018868,0.19929245283018868,0.5507075471698113,True,False,UPI0000151E80,UniRef50_P30561,2016_10,disprot_taxon_9606_homo_sapiens.json
P49841,DP00385,Homo sapiens,9606,Human,Glycogen synthase kinase-3 beta,GSK3B,420,420,13,85,85,0.20238095238095238,0.20238095238095238,0.20238095238095238,0.12380952380952381,True,False,UPI000004E93D,UniRef50_P49841,2016_10,disprot_taxon_9606_homo_sapiens.json
Q09161,DP00392,Homo sapiens,9606,Human,Nuclear cap-binding protein subunit 1,NCBP1,790,790,6,51,51,0.06455696202531645,0.06455696202531645,0.06455696202531645,0.024050632911392405,True,False,UPI0000112754,UniRef50_Q09161,2016_10,disprot_taxon_9606_homo_sapiens.json
P52298,DP00393,Homo sapiens,9606,Human,Nuclear cap-binding protein subunit 2,NCBP2,156,156,4,73,73,0.46794871794871795,0.46794871794871795,0.46794871794871795,0.00641025641025641,True,False,UPI0000046578,UniRef50_P52298,2016_10,disprot_taxon_9606_homo_sapiens.json
O00204,DP00404,Homo sapiens,9606,Human,Sulfotransferase 2B1,SULT2B1,365,365,4,14,14,0.038356164383561646,0.038356164383561646,0.038356164383561646,0.1095890410958904,True,False,UPI00000736D4,UniRef50_O00204,2016_10,disprot_taxon_9606_homo_sapiens.json
